team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Algeria,Argentina,0.1356,0.6752,0.1892
Algeria,Australia,0.3397,0.4041,0.2562
Algeria,Austria,0.2973,0.4599,0.2428
Algeria,Belgium,0.2264,0.5474,0.2261
Algeria,Bosnia and Herzegovina,0.4672,0.2881,0.2447
Algeria,Brazil,0.1776,0.6135,0.2088
Algeria,Canada,0.37,0.3726,0.2573
Algeria,Cape Verde,0.5314,0.2377,0.2309
Algeria,Colombia,0.2243,0.5499,0.2258
Algeria,Croatia,0.2455,0.5196,0.2349
Algeria,Curaçao,0.5728,0.2073,0.2199
Algeria,Czechia,0.3842,0.3588,0.257
Algeria,Côte d'Ivoire,0.3402,0.4068,0.253
Algeria,DR Congo,0.4605,0.2912,0.2483
Algeria,Ecuador,0.2909,0.4677,0.2413
Algeria,Egypt,0.3653,0.3774,0.2573
Algeria,England,0.1559,0.6427,0.2014
Algeria,France,0.1376,0.6719,0.1905
Algeria,Germany,0.2006,0.5806,0.2188
Algeria,Ghana,0.4525,0.3021,0.2455
Algeria,Haiti,0.5632,0.2169,0.2199
Algeria,Iran,0.3258,0.4195,0.2547
Algeria,Iraq,0.4743,0.2826,0.2431
Algeria,Japan,0.2628,0.5019,0.2353
Algeria,Jordan,0.5295,0.2414,0.2291
Algeria,Mexico,0.2778,0.481,0.2413
Algeria,Morocco,0.2206,0.5564,0.223
Algeria,Netherlands,0.1973,0.5855,0.2172
Algeria,New Zealand,0.5812,0.2045,0.2143
Algeria,Norway,0.3333,0.4156,0.2511
Algeria,Panama,0.4303,0.3208,0.2489
Algeria,Paraguay,0.4182,0.3252,0.2566
Algeria,Portugal,0.1784,0.6134,0.2082
Algeria,Qatar,0.4421,0.3117,0.2461
Algeria,Saudi Arabia,0.452,0.3046,0.2434
Algeria,Scotland,0.4072,0.3348,0.2579
Algeria,Senegal,0.2539,0.5071,0.239
Algeria,South Africa,0.4652,0.2914,0.2435
Algeria,South Korea,0.318,0.4344,0.2476
Algeria,Spain,0.1316,0.6821,0.1863
Algeria,Sweden,0.362,0.3844,0.2536
Algeria,Switzerland,0.275,0.485,0.2401
Algeria,Tunisia,0.4166,0.3303,0.2531
Algeria,Turkey,0.315,0.4367,0.2483
Algeria,USA,0.2773,0.4828,0.2398
Algeria,Uruguay,0.2342,0.5348,0.231
Algeria,Uzbekistan,0.4819,0.2787,0.2394
Argentina,Australia,0.6465,0.1555,0.1979
Argentina,Austria,0.6084,0.1821,0.2095
Argentina,Belgium,0.5192,0.2517,0.2291
Argentina,Bosnia and Herzegovina,0.7392,0.0989,0.162
Argentina,Brazil,0.4469,0.3072,0.2459
Argentina,Canada,0.67,0.1374,0.1926
Argentina,Cape Verde,0.7637,0.0902,0.1461
Argentina,Colombia,0.5177,0.2513,0.231
Argentina,Croatia,0.5481,0.2298,0.2222
Argentina,Curaçao,0.7731,0.0849,0.142
Argentina,Czechia,0.686,0.1284,0.1856
Argentina,Côte d'Ivoire,0.6534,0.1525,0.1941
Argentina,DR Congo,0.7279,0.1061,0.166
Argentina,Ecuador,0.6091,0.1819,0.209
Argentina,Egypt,0.6672,0.1404,0.1923
Argentina,England,0.4143,0.3351,0.2506
Argentina,France,0.3786,0.3707,0.2507
Argentina,Germany,0.4843,0.2779,0.2378
Argentina,Ghana,0.728,0.109,0.163
Argentina,Haiti,0.7724,0.0865,0.1411
Argentina,Iran,0.639,0.1607,0.2003
Argentina,Iraq,0.7445,0.0986,0.1568
Argentina,Japan,0.5632,0.2152,0.2216
Argentina,Jordan,0.7647,0.0892,0.1461
Argentina,Mexico,0.5817,0.201,0.2173
Argentina,Morocco,0.5261,0.2441,0.2298
Argentina,Netherlands,0.4797,0.2808,0.2395
