team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Argentina,France,0.36,0.35,0.29
Argentina,Spain,0.37,0.34,0.29
Argentina,England,0.38,0.33,0.29
Argentina,Colombia,0.42,0.30,0.28
Argentina,Uruguay,0.44,0.28,0.28
Argentina,Portugal,0.45,0.28,0.27
Argentina,Netherlands,0.46,0.27,0.27
Argentina,Brazil,0.48,0.26,0.26
Argentina,Germany,0.48,0.25,0.27
Argentina,Belgium,0.50,0.24,0.26
Argentina,Croatia,0.52,0.22,0.26
Argentina,Austria,0.55,0.20,0.25
Argentina,Japan,0.56,0.19,0.25
Argentina,Morocco,0.57,0.19,0.24
Argentina,USA,0.58,0.18,0.24
Argentina,Switzerland,0.59,0.17,0.24
Argentina,Senegal,0.61,0.16,0.23
Argentina,Ecuador,0.62,0.15,0.23
Argentina,Turkey,0.63,0.15,0.22
Argentina,Iran,0.65,0.13,0.22
Argentina,South Korea,0.66,0.13,0.21
Argentina,Australia,0.67,0.12,0.21
Argentina,Sweden,0.68,0.12,0.20
Argentina,Mexico,0.69,0.11,0.20
Argentina,Norway,0.70,0.11,0.19
Argentina,Czechia,0.71,0.10,0.19
Argentina,Scotland,0.73,0.09,0.18
Argentina,Egypt,0.74,0.09,0.17
Argentina,Algeria,0.75,0.08,0.17
Argentina,Canada,0.76,0.08,0.16
Argentina,Paraguay,0.76,0.08,0.16
Argentina,Côte d'Ivoire,0.77,0.07,0.16
Argentina,Tunisia,0.78,0.07,0.15
Argentina,Panama,0.79,0.06,0.15
Argentina,Uzbekistan,0.80,0.06,0.14
Argentina,Qatar,0.81,0.05,0.14
Argentina,Saudi Arabia,0.82,0.05,0.13
Argentina,South Africa,0.83,0.04,0.13
Argentina,Ghana,0.84,0.04,0.12
Argentina,Bosnia and Herzegovina,0.84,0.04,0.12
Argentina,Jordan,0.85,0.03,0.12
Argentina,Cape Verde,0.86,0.03,0.11
Argentina,New Zealand,0.87,0.03,0.10
Argentina,Haiti,0.88,0.02,0.10
Argentina,Curaçao,0.89,0.02,0.09
Argentina,DR Congo,0.89,0.02,0.09
Argentina,Iraq,0.90,0.02,0.08
France,Spain,0.36,0.35,0.29
France,England,0.37,0.34,0.29
France,Colombia,0.41,0.31,0.28
France,Uruguay,0.43,0.29,0.28
France,Portugal,0.44,0.29,0.27
France,Netherlands,0.45,0.28,0.27
France,Brazil,0.47,0.27,0.26
France,Germany,0.47,0.26,0.27
France,Belgium,0.49,0.25,0.26
France,Croatia,0.51,0.23,0.26
France,Austria,0.54,0.21,0.25
France,Japan,0.55,0.20,0.25
