team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Mexico,South Africa,0.5128,0.2332,0.254
Mexico,South Korea,0.4019,0.3251,0.273
Mexico,Czechia,0.4672,0.2708,0.262
Mexico,Canada,0.4846,0.2564,0.259
Mexico,Bosnia and Herzegovina,0.5452,0.2068,0.248
Mexico,Qatar,0.5016,0.2424,0.256
Mexico,Switzerland,0.2854,0.4496,0.265
Mexico,Brazil,0.1488,0.6182,0.233
Mexico,Morocco,0.1901,0.5659,0.244
Mexico,Haiti,0.6046,0.1594,0.236
Mexico,Scotland,0.496,0.247,0.257
Mexico,USA,0.3719,0.3501,0.278
Mexico,Paraguay,0.4199,0.3101,0.27
Mexico,Australia,0.4555,0.2805,0.264
Mexico,Turkey,0.4259,0.3051,0.269
Mexico,Germany,0.1821,0.5759,0.242
Mexico,Curaçao,0.5953,0.1667,0.238
Mexico,Côte d'Ivoire,0.4378,0.2952,0.267
Mexico,Ecuador,0.3101,0.4199,0.27
Mexico,Netherlands,0.2068,0.5452,0.248
Mexico,Japan,0.1782,0.5808,0.241
Mexico,Sweden,0.4318,0.3002,0.268
Mexico,Tunisia,0.4788,0.2612,0.26
Mexico,Belgium,0.1667,0.5953,0.238
Mexico,Egypt,0.4079,0.3201,0.272
Mexico,Iran,0.4437,0.2903,0.266
Mexico,New Zealand,0.5709,0.1861,0.243
Mexico,Spain,0.0937,0.6923,0.214
Mexico,Cape Verde,0.5557,0.1983,0.246
Mexico,Saudi Arabia,0.5238,0.2242,0.252
Mexico,Uruguay,0.2242,0.5238,0.252
Mexico,France,0.089,0.699,0.212
Mexico,Senegal,0.1942,0.5608,0.245
Mexico,Iraq,0.5346,0.2154,0.25
Mexico,Norway,0.3002,0.4318,0.268
Mexico,Argentina,0.0971,0.6875,0.2154
Mexico,Algeria,0.4614,0.2756,0.263
Mexico,Austria,0.2756,0.4614,0.263
Mexico,Jordan,0.5659,0.1901,0.244
Mexico,Portugal,0.142,0.627,0.231
Mexico,DR Congo,0.5759,0.1821,0.242
Mexico,Uzbekistan,0.5505,0.2025,0.247
Mexico,Colombia,0.2903,0.4437,0.266
Mexico,England,0.2154,0.5346,0.25
Mexico,Croatia,0.266,0.473,0.261
Mexico,Ghana,0.4903,0.2517,0.258
Mexico,Panama,0.5183,0.2287,0.253
South Africa,South Korea,0.266,0.473,0.261
South Africa,Czechia,0.3201,0.4079,0.272
South Africa,Canada,0.3351,0.3899,0.275
South Africa,Bosnia and Herzegovina,0.3959,0.3301,0.274
South Africa,Qatar,0.3501,0.3719,0.278
South Africa,Switzerland,0.1705,0.5905,0.239
South Africa,Brazil,0.0782,0.7148,0.207
South Africa,Morocco,0.1036,0.6784,0.218
South Africa,Haiti,0.4672,0.2708,0.262
South Africa,Scotland,0.3451,0.3779,0.277
South Africa,USA,0.2424,0.5016,0.256
South Africa,Paraguay,0.2805,0.4555,0.264
South Africa,Australia,0.3101,0.4199,0.27
South Africa,Turkey,0.2854,0.4496,0.265
South Africa,Germany,0.0986,0.6854,0.216
South Africa,Curaçao,0.4555,0.2805,0.264
South Africa,Côte d'Ivoire,0.2952,0.4378,0.267
South Africa,Ecuador,0.1901,0.5659,0.244
South Africa,Netherlands,0.1144,0.6636,0.222
South Africa,Japan,0.0961,0.6889,0.215
South Africa,Sweden,0.2903,0.4437,0.266
South Africa,Tunisia,0.3301,0.3959,0.274
South Africa,Belgium,0.089,0.699,0.212
South Africa,Egypt,0.2708,0.4672,0.262
South Africa,Iran,0.3002,0.4318,0.268
South Africa,New Zealand,0.4259,0.3051,0.269
South Africa,Spain,0.0471,0.7649,0.188
