team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Spain,Argentina,0.3914,0.3402,0.2684
Spain,France,0.4194,0.317,0.2636
Spain,England,0.4645,0.2846,0.2509
Spain,Portugal,0.4965,0.2644,0.2391
Spain,Germany,0.5129,0.2547,0.2324
Spain,Brazil,0.5296,0.2452,0.2252
Spain,Netherlands,0.5466,0.2359,0.2175
Spain,Morocco,0.6153,0.2008,0.1839
Spain,Belgium,0.6326,0.1924,0.175
Spain,Uruguay,0.6666,0.1763,0.1571
Spain,Colombia,0.6833,0.1685,0.1482
Spain,Croatia,0.6998,0.1609,0.1393
Spain,Switzerland,0.7159,0.1535,0.1306
Spain,Japan,0.7317,0.1462,0.1221
Spain,USA,0.747,0.1392,0.1138
Spain,Mexico,0.747,0.1392,0.1138
Spain,Senegal,0.7619,0.1324,0.1057
Spain,Turkey,0.7763,0.1258,0.0979
Spain,Norway,0.7901,0.1194,0.0905
Spain,South Korea,0.8035,0.1132,0.0833
Spain,Austria,0.8163,0.1072,0.0765
Spain,Ivory Coast,0.8285,0.1015,0.07
Spain,Australia,0.8402,0.0959,0.0639
Spain,Ecuador,0.8513,0.0906,0.0581
Spain,Algeria,0.8618,0.0855,0.0527
Spain,Iran,0.8716,0.0807,0.0477
Spain,Sweden,0.8898,0.0716,0.0386
Spain,Egypt,0.898,0.0674,0.0346
Spain,Canada,0.9056,0.0634,0.031
Spain,Ghana,0.9129,0.0595,0.0276
Spain,DR Congo,0.9196,0.0559,0.0245
Spain,Czechia,0.9258,0.0525,0.0217
Spain,Qatar,0.9316,0.0492,0.0192
Spain,South Africa,0.9369,0.0462,0.0169
Spain,Paraguay,0.9369,0.0462,0.0169
Spain,Tunisia,0.9419,0.0433,0.0148
Spain,Saudi Arabia,0.9507,0.038,0.0113
Spain,Scotland,0.9546,0.0356,0.0098
Spain,Panama,0.9615,0.0311,0.0074
Spain,Iraq,0.9646,0.0291,0.0063
Spain,Uzbekistan,0.9698,0.0255,0.0047
Spain,Jordan,0.9722,0.0238,0.004
Spain,Bosnia and Herzegovina,0.9744,0.0222,0.0034
Spain,Cape Verde,0.9744,0.0222,0.0034
Spain,New Zealand,0.9798,0.0181,0.0021
Spain,Curacao,0.9852,0.0138,0.001
Spain,Haiti,0.9863,0.0129,0.0008
Argentina,France,0.3914,0.3402,0.2684
Argentina,England,0.4341,0.3059,0.26
Argentina,Portugal,0.4645,0.2846,0.2509
