team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Algeria,Argentina,0.128,0.7813,0.0908
Algeria,Australia,0.3588,0.3767,0.2645
Algeria,Austria,0.3279,0.4275,0.2446
Algeria,Belgium,0.2387,0.5894,0.1718
Algeria,Bosnia and Herzegovina,0.5858,0.2424,0.1718
Algeria,Brazil,0.1893,0.6785,0.1322
Algeria,Canada,0.3934,0.3528,0.2538
Algeria,Cape Verde,0.6704,0.193,0.1365
Algeria,Colombia,0.2596,0.5499,0.1905
Algeria,Croatia,0.2482,0.568,0.1837
Algeria,Curaçao,0.7348,0.1598,0.1054
Algeria,Czechia,0.4731,0.3004,0.2265
Algeria,Côte d'Ivoire,0.367,0.3778,0.2552
Algeria,DR Congo,0.5087,0.2838,0.2076
Algeria,Ecuador,0.3514,0.3918,0.2568
Algeria,Egypt,0.4039,0.3371,0.259
Algeria,England,0.1483,0.743,0.1086
Algeria,France,0.1272,0.7767,0.0962
Algeria,Germany,0.1889,0.682,0.1291
Algeria,Ghana,0.4424,0.3169,0.2407
Algeria,Haiti,0.7243,0.1694,0.1064
Algeria,Iran,0.3751,0.3584,0.2664
Algeria,Iraq,0.5981,0.2345,0.1674
Algeria,Japan,0.2809,0.5103,0.2088
Algeria,Jordan,0.6288,0.2194,0.1519
Algeria,Mexico,0.2914,0.4902,0.2184
Algeria,Morocco,0.2249,0.6136,0.1616
Algeria,Netherlands,0.1898,0.6748,0.1354
Algeria,New Zealand,0.6984,0.179,0.1226
Algeria,Norway,0.289,0.501,0.21
Algeria,Panama,0.5376,0.2649,0.1976
Algeria,Paraguay,0.4772,0.2956,0.2272
Algeria,Portugal,0.1758,0.7025,0.1216
Algeria,Qatar,0.589,0.2292,0.1818
Algeria,Saudi Arabia,0.5356,0.267,0.1974
Algeria,Scotland,0.4903,0.2853,0.2244
Algeria,Senegal,0.3078,0.4549,0.2373
Algeria,South Africa,0.5217,0.275,0.2032
Algeria,South Korea,0.3247,0.4288,0.2465
Algeria,Spain,0.1126,0.8036,0.0838
Algeria,Sweden,0.3836,0.3529,0.2635
Algeria,Switzerland,0.2845,0.5008,0.2148
Algeria,Tunisia,0.4766,0.2944,0.2291
Algeria,Turkey,0.3105,0.453,0.2364
Algeria,USA,0.2872,0.4991,0.2136
Algeria,Uruguay,0.2566,0.5557,0.1876
Algeria,Uzbekistan,0.5929,0.2388,0.1683
Argentina,Australia,0.7724,0.131,0.0966
Argentina,Austria,0.7358,0.1568,0.1074
Argentina,Belgium,0.5913,0.2366,0.1722
Argentina,Bosnia and Herzegovina,0.87,0.0713,0.0588
Argentina,Brazil,0.4962,0.2886,0.2152
Argentina,Canada,0.7964,0.1241,0.0796
Argentina,Cape Verde,0.8976,0.0448,0.0576
Argentina,Colombia,0.6294,0.216,0.1546
Argentina,Croatia,0.6124,0.228,0.1596
Argentina,Curaçao,0.9076,0.0364,0.0559
Argentina,Czechia,0.8404,0.0894,0.0703
Argentina,Côte d'Ivoire,0.7731,0.1276,0.0992
Argentina,DR Congo,0.852,0.0769,0.0711
Argentina,Ecuador,0.764,0.1405,0.0956
Argentina,Egypt,0.8076,0.1128,0.0796
Argentina,England,0.4112,0.3316,0.2572
Argentina,France,0.3732,0.3671,0.2598
Argentina,Germany,0.494,0.2907,0.2153
Argentina,Ghana,0.8269,0.0988,0.0742
Argentina,Haiti,0.9034,0.0407,0.0558
Argentina,Iran,0.7884,0.124,0.0876
Argentina,Iraq,0.88,0.0602,0.0598
Argentina,Japan,0.666,0.1962,0.1377
Argentina,Jordan,0.8862,0.0556,0.0582
Argentina,Mexico,0.6828,0.1861,0.131
Argentina,Morocco,0.5668,0.2504,0.1827
Argentina,Netherlands,0.4984,0.2865,0.215
Argentina,New Zealand,0.9021,0.0413,0.0566
Argentina,Norway,0.6782,0.1949,0.1269
Argentina,Panama,0.8601,0.0785,0.0614
Argentina,Paraguay,0.842,0.0902,0.0677
Argentina,Portugal,0.4682,0.3042,0.2276
Argentina,Qatar,0.8783,0.0544,0.0674
Argentina,Saudi Arabia,0.8625,0.0741,0.0634
Argentina,Scotland,0.8432,0.0926,0.0642
Argentina,Senegal,0.7084,0.1686,0.1229
Argentina,South Africa,0.8584,0.075,0.0666
Argentina,South Korea,0.7326,0.157,0.1104
Argentina,Spain,0.3442,0.4015,0.2544
Argentina,Sweden,0.7938,0.123,0.0831
Argentina,Switzerland,0.6706,0.1905,0.1388
Argentina,Tunisia,0.8412,0.092,0.0668
Argentina,Turkey,0.7124,0.1682,0.1194
Argentina,USA,0.6764,0.1909,0.1327
Argentina,Uruguay,0.6233,0.2184,0.1583
Argentina,Uzbekistan,0.8758,0.0652,0.059
Australia,Austria,0.3371,0.4196,0.2434
Australia,Belgium,0.2442,0.5775,0.1784
Australia,Bosnia and Herzegovina,0.5958,0.2376,0.1666
Australia,Brazil,0.1936,0.6665,0.1398
Australia,Canada,0.4063,0.3481,0.2456
Australia,Cape Verde,0.682,0.1889,0.1291
Australia,Colombia,0.2656,0.5385,0.1959
Australia,Croatia,0.2544,0.5562,0.1894
Australia,Curaçao,0.7432,0.157,0.0998
Australia,Czechia,0.4834,0.2931,0.2236
Australia,Côte d'Ivoire,0.3732,0.3664,0.2603
Australia,DR Congo,0.5192,0.2768,0.204
Australia,Ecuador,0.3619,0.385,0.2532
Australia,Egypt,0.4132,0.3285,0.2582
Australia,England,0.1523,0.7315,0.1162
Australia,France,0.1308,0.7664,0.1028
Australia,Germany,0.193,0.6704,0.1365
Australia,Ghana,0.4519,0.309,0.2392
Australia,Haiti,0.7317,0.1669,0.1014
Australia,Iran,0.3849,0.3503,0.2648
Australia,Iraq,0.6097,0.2296,0.1607
Australia,Japan,0.2878,0.4998,0.2124
Australia,Jordan,0.6398,0.215,0.1452
Australia,Mexico,0.2988,0.4802,0.2211
Australia,Morocco,0.2301,0.6012,0.1687
Australia,Netherlands,0.1944,0.6623,0.1433
Australia,New Zealand,0.7087,0.1754,0.1158
Australia,Norway,0.2968,0.4915,0.2117
Australia,Panama,0.5486,0.2592,0.1922
Australia,Paraguay,0.488,0.2885,0.2234
Australia,Portugal,0.1799,0.691,0.1291
Australia,Qatar,0.6018,0.2226,0.1756
Australia,Saudi Arabia,0.5469,0.2611,0.192
Australia,Scotland,0.5018,0.279,0.2192
Australia,Senegal,0.3157,0.4454,0.2388
Australia,South Africa,0.5329,0.2686,0.1985
Australia,South Korea,0.3336,0.4204,0.246
Australia,Spain,0.1154,0.7954,0.0892
Australia,Sweden,0.3956,0.3472,0.2572
Australia,Switzerland,0.2914,0.4902,0.2184
Australia,Tunisia,0.4876,0.2875,0.2249
Australia,Turkey,0.3187,0.444,0.2374
Australia,USA,0.2944,0.489,0.2166
Australia,Uruguay,0.2626,0.5442,0.1932
Australia,Uzbekistan,0.6037,0.234,0.1623
Austria,Belgium,0.2744,0.5212,0.2044
Austria,Bosnia and Herzegovina,0.6518,0.2108,0.1374
Austria,Brazil,0.224,0.617,0.1589
Austria,Canada,0.4482,0.3085,0.2434
Austria,Cape Verde,0.7254,0.1603,0.1144
Austria,Colombia,0.2954,0.4812,0.2234
Austria,Croatia,0.2864,0.5026,0.211
Austria,Curaçao,0.7804,0.1308,0.0888
Austria,Czechia,0.5414,0.264,0.1945
Austria,Côte d'Ivoire,0.428,0.3368,0.2352
Austria,DR Congo,0.5718,0.2448,0.1834
Austria,Ecuador,0.3996,0.3416,0.2588
Austria,Egypt,0.47,0.3017,0.2282
Austria,England,0.1799,0.691,0.1291
Austria,France,0.1559,0.7307,0.1134
Austria,Germany,0.2233,0.6204,0.1564
Austria,Ghana,0.5103,0.2809,0.2088
Austria,Haiti,0.7716,0.1398,0.0885
Austria,Iran,0.4378,0.3212,0.241
Austria,Iraq,0.6616,0.1994,0.139
Austria,Japan,0.3169,0.4424,0.2407
Austria,Jordan,0.6896,0.1854,0.125
Austria,Mexico,0.327,0.4228,0.2502
Austria,Morocco,0.2611,0.5471,0.1918
Austria,Netherlands,0.2249,0.6136,0.1616
Austria,New Zealand,0.7497,0.1478,0.1025
Austria,Norway,0.3293,0.4376,0.233
Austria,Panama,0.607,0.2319,0.1612
Austria,Paraguay,0.5471,0.2611,0.1917
Austria,Portugal,0.2097,0.6438,0.1464
Austria,Qatar,0.643,0.1934,0.1636
Austria,Saudi Arabia,0.6034,0.2314,0.1653
Austria,Scotland,0.5608,0.254,0.1852
Austria,Senegal,0.3446,0.392,0.2634
Austria,South Africa,0.5877,0.2377,0.1746
Austria,South Korea,0.3649,0.37,0.2651
Austria,Spain,0.139,0.763,0.098
Austria,Sweden,0.444,0.3141,0.242
Austria,Switzerland,0.3186,0.4322,0.2492
Austria,Tunisia,0.5469,0.2611,0.192
Austria,Turkey,0.3465,0.3887,0.2648
Austria,USA,0.3236,0.4318,0.2446
Austria,Uruguay,0.2918,0.4864,0.2218
Austria,Uzbekistan,0.6581,0.205,0.1369
Belgium,Bosnia and Herzegovina,0.7738,0.1431,0.083
Belgium,Brazil,0.312,0.4544,0.2335
Belgium,Canada,0.6152,0.2281,0.1567
Belgium,Cape Verde,0.8269,0.0988,0.0742
Belgium,Colombia,0.3996,0.3416,0.2588
Belgium,Croatia,0.3872,0.3555,0.2573
Belgium,Curaçao,0.856,0.0802,0.0638
Belgium,Czechia,0.6962,0.1805,0.1232
Belgium,Côte d'Ivoire,0.5816,0.2405,0.178
Belgium,DR Congo,0.7173,0.1614,0.1213
Belgium,Ecuador,0.5614,0.2538,0.1848
Belgium,Egypt,0.6339,0.2162,0.15
Belgium,England,0.2656,0.5382,0.1961
Belgium,France,0.2373,0.5864,0.1764
Belgium,Germany,0.3093,0.4561,0.2346
Belgium,Ghana,0.6696,0.1957,0.1347
Belgium,Haiti,0.8486,0.0878,0.0636
Belgium,Iran,0.6008,0.2329,0.1663
Belgium,Iraq,0.7857,0.1282,0.086
Belgium,Japan,0.4363,0.3193,0.2444
Belgium,Jordan,0.803,0.1185,0.0786
Belgium,Mexico,0.4561,0.3093,0.2346
Belgium,Morocco,0.3525,0.3889,0.2586
Belgium,Netherlands,0.3148,0.453,0.2322
Belgium,New Zealand,0.8402,0.0908,0.069
Belgium,Norway,0.4452,0.3083,0.2465
Belgium,Panama,0.7462,0.1578,0.0959
Belgium,Paraguay,0.7021,0.1802,0.1176
Belgium,Portugal,0.2964,0.4821,0.2214
Belgium,Qatar,0.7704,0.1206,0.109
Belgium,Saudi Arabia,0.7451,0.1536,0.1012
Belgium,Scotland,0.7116,0.1794,0.109
Belgium,Senegal,0.491,0.2922,0.2168
Belgium,South Africa,0.7326,0.157,0.1104
Belgium,South Korea,0.5186,0.2762,0.2052
Belgium,Spain,0.2152,0.628,0.1569
Belgium,Sweden,0.6097,0.2296,0.1607
Belgium,Switzerland,0.447,0.3174,0.2356
Belgium,Tunisia,0.702,0.1819,0.116
Belgium,Turkey,0.4932,0.2901,0.2168
Belgium,USA,0.447,0.3129,0.2401
Belgium,Uruguay,0.3956,0.3464,0.258
Belgium,Uzbekistan,0.7812,0.135,0.0837
Bosnia and Herzegovina,Brazil,0.1086,0.8232,0.0682
Bosnia and Herzegovina,Canada,0.254,0.5614,0.1846
Bosnia and Herzegovina,Cape Verde,0.4589,0.3239,0.2171
Bosnia and Herzegovina,Colombia,0.1577,0.7497,0.0925
Bosnia and Herzegovina,Croatia,0.1444,0.7659,0.0898
Bosnia and Herzegovina,Curaçao,0.5245,0.2742,0.2013
Bosnia and Herzegovina,Czechia,0.2957,0.4679,0.2364
Bosnia and Herzegovina,Côte d'Ivoire,0.2402,0.5882,0.1716
Bosnia and Herzegovina,DR Congo,0.3328,0.4574,0.2098
Bosnia and Herzegovina,Ecuador,0.2288,0.6146,0.1564
Bosnia and Herzegovina,Egypt,0.2632,0.5402,0.1966
Bosnia and Herzegovina,England,0.0806,0.8577,0.0616
Bosnia and Herzegovina,France,0.068,0.8728,0.0592
Bosnia and Herzegovina,Germany,0.11,0.8224,0.0676
Bosnia and Herzegovina,Ghana,0.281,0.4989,0.2202
Bosnia and Herzegovina,Haiti,0.511,0.2818,0.2072
Bosnia and Herzegovina,Iran,0.2474,0.5746,0.178
Bosnia and Herzegovina,Iraq,0.3884,0.3742,0.2374
Bosnia and Herzegovina,Japan,0.1734,0.7223,0.1043
Bosnia and Herzegovina,Jordan,0.4122,0.3509,0.237
Bosnia and Herzegovina,Mexico,0.1826,0.7065,0.1108
Bosnia and Herzegovina,Morocco,0.1318,0.7897,0.0785
Bosnia and Herzegovina,Netherlands,0.1073,0.8238,0.0688
Bosnia and Herzegovina,New Zealand,0.4844,0.3025,0.2131
Bosnia and Herzegovina,Norway,0.1723,0.7156,0.1121
Bosnia and Herzegovina,Panama,0.3339,0.4058,0.2603
Bosnia and Herzegovina,Paraguay,0.3,0.4618,0.2382
Bosnia and Herzegovina,Portugal,0.1003,0.8344,0.0652
Bosnia and Herzegovina,Qatar,0.4202,0.3988,0.1811
Bosnia and Herzegovina,Saudi Arabia,0.3371,0.4164,0.2464
Bosnia and Herzegovina,Scotland,0.3117,0.45,0.2382
Bosnia and Herzegovina,Senegal,0.1997,0.6762,0.124
Bosnia and Herzegovina,South Africa,0.3344,0.4366,0.2291
Bosnia and Herzegovina,South Korea,0.2106,0.6534,0.136
Bosnia and Herzegovina,Spain,0.0617,0.8808,0.0576
Bosnia and Herzegovina,Sweden,0.2514,0.5668,0.1819
Bosnia and Herzegovina,Switzerland,0.1804,0.7128,0.1068
Bosnia and Herzegovina,Tunisia,0.3014,0.4623,0.2364
Bosnia and Herzegovina,Turkey,0.1996,0.6754,0.125
Bosnia and Herzegovina,USA,0.1778,0.714,0.1082
Bosnia and Herzegovina,Uruguay,0.157,0.7522,0.0909
Bosnia and Herzegovina,Uzbekistan,0.3759,0.3698,0.2544
Brazil,Canada,0.702,0.1819,0.116
Brazil,Cape Verde,0.864,0.0718,0.0642
Brazil,Colombia,0.4932,0.2901,0.2168
Brazil,Croatia,0.4712,0.298,0.2308
Brazil,Curaçao,0.8832,0.0582,0.0587
Brazil,Czechia,0.7674,0.1376,0.095
Brazil,Côte d'Ivoire,0.6683,0.1898,0.142
Brazil,DR Congo,0.7835,0.121,0.0955
Brazil,Ecuador,0.6545,0.2043,0.1412
Brazil,Egypt,0.7171,0.1692,0.1137
Brazil,England,0.3204,0.4456,0.234
Brazil,France,0.2914,0.4947,0.2138
Brazil,Germany,0.3649,0.37,0.2651
Brazil,Ghana,0.7462,0.1507,0.1032
Brazil,Haiti,0.8772,0.0642,0.0586
Brazil,Iran,0.6886,0.184,0.1274
Brazil,Iraq,0.8344,0.0949,0.0708
Brazil,Japan,0.5329,0.2686,0.1985
Brazil,Jordan,0.8462,0.0874,0.0664
Brazil,Mexico,0.5527,0.258,0.1892
Brazil,Morocco,0.4288,0.3247,0.2465
