team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Argentina,France,0.39,0.37,0.24
Argentina,Spain,0.41,0.35,0.24
Argentina,England,0.43,0.33,0.24
Argentina,Brazil,0.46,0.30,0.24
Argentina,Portugal,0.47,0.29,0.24
Argentina,Netherlands,0.49,0.27,0.24
Argentina,Colombia,0.50,0.26,0.24
Argentina,Uruguay,0.52,0.25,0.23
Argentina,Germany,0.52,0.25,0.23
Argentina,Belgium,0.53,0.24,0.23
Argentina,Croatia,0.55,0.22,0.23
Argentina,Japan,0.59,0.18,0.23
Argentina,Senegal,0.61,0.17,0.22
Argentina,Morocco,0.61,0.17,0.22
Argentina,USA,0.64,0.14,0.22
Argentina,Mexico,0.64,0.14,0.22
Argentina,Switzerland,0.64,0.14,0.22
Argentina,Ecuador,0.65,0.13,0.22
Argentina,Austria,0.65,0.13,0.22
Argentina,Ivory Coast,0.67,0.12,0.21
Argentina,South Korea,0.67,0.12,0.21
Argentina,Iran,0.68,0.11,0.21
Argentina,Australia,0.68,0.11,0.21
Argentina,Türkiye,0.70,0.09,0.21
Argentina,Norway,0.70,0.09,0.21
Argentina,Canada,0.71,0.08,0.21
Argentina,Sweden,0.71,0.08,0.21
Argentina,Czechia,0.73,0.07,0.20
Argentina,Egypt,0.74,0.06,0.20
Argentina,Algeria,0.76,0.05,0.19
Argentina,Saudi Arabia,0.79,0.03,0.18
Argentina,Qatar,0.79,0.03,0.18
Argentina,Tunisia,0.79,0.03,0.18
Argentina,Panama,0.80,0.02,0.18
Argentina,Ghana,0.80,0.02,0.18
Argentina,Bosnia,0.82,0.01,0.17
Argentina,South Africa,0.83,0.01,0.16
Argentina,Scotland,0.83,0.01,0.16
Argentina,Iraq,0.85,0.01,0.14
Argentina,Uzbekistan,0.85,0.01,0.14
Argentina,Paraguay,0.85,0.01,0.14
Argentina,Jordan,0.85,0.01,0.14
Argentina,DR Congo,0.85,0.01,0.14
Argentina,Haiti,0.85,0.01,0.14
Argentina,Cabo Verde,0.85,0.01,0.14
Argentina,New Zealand,0.85,0.01,0.14
Argentina,Curaçao,0.85,0.01,0.14
France,Spain,0.40,0.36,0.24
France,England,0.41,0.35,0.24
France,Brazil,0.44,0.32,0.24
France,Portugal,0.46,0.30,0.24
France,Netherlands,0.47,0.29,0.24
France,Colombia,0.49,0.27,0.24
France,Uruguay,0.50,0.26,0.24
France,Germany,0.50,0.26,0.24
France,Belgium,0.52,0.25,0.23
France,Croatia,0.53,0.24,0.23
France,Japan,0.58,0.19,0.23
France,Senegal,0.59,0.18,0.23
France,Morocco,0.59,0.18,0.23
France,USA,0.62,0.15,0.23
France,Mexico,0.62,0.15,0.23
France,Switzerland,0.62,0.15,0.23
France,Ecuador,0.64,0.14,0.22
France,Austria,0.64,0.14,0.22
France,Ivory Coast,0.65,0.13,0.22
France,South Korea,0.65,0.13,0.22
France,Iran,0.67,0.12,0.21
France,Australia,0.67,0.12,0.21
France,Türkiye,0.68,0.11,0.21
France,Norway,0.68,0.11,0.21
France,Canada,0.70,0.09,0.21
France,Sweden,0.70,0.09,0.21
France,Czechia,0.71,0.08,0.21
France,Egypt,0.73,0.07,0.20
France,Algeria,0.74,0.06,0.20
France,Saudi Arabia,0.77,0.04,0.19
France,Qatar,0.77,0.04,0.19
France,Tunisia,0.77,0.04,0.19
France,Panama,0.79,0.03,0.18
France,Ghana,0.79,0.03,0.18
France,Bosnia,0.80,0.02,0.18
France,South Africa,0.82,0.01,0.17
France,Scotland,0.82,0.01,0.17
France,Iraq,0.83,0.01,0.16
France,Uzbekistan,0.85,0.01,0.14
France,Paraguay,0.85,0.01,0.14
France,Jordan,0.85,0.01,0.14
France,DR Congo,0.85,0.01,0.14
France,Haiti,0.85,0.01,0.14
France,Cabo Verde,0.85,0.01,0.14
France,New Zealand,0.85,0.01,0.14
France,Curaçao,0.85,0.01,0.14
Spain,England,0.40,0.36,0.24
Spain,Brazil,0.43,0.33,0.24
Spain,Portugal,0.44,0.32,0.24
Spain,Netherlands,0.46,0.30,0.24
Spain,Colombia,0.47,0.29,0.24
Spain,Uruguay,0.49,0.27,0.24
Spain,Germany,0.49,0.27,0.24
Spain,Belgium,0.50,0.26,0.24
Spain,Croatia,0.52,0.25,0.23
Spain,Japan,0.56,0.21,0.23
Spain,Senegal,0.58,0.19,0.23
Spain,Morocco,0.58,0.19,0.23
Spain,USA,0.61,0.17,0.22
Spain,Mexico,0.61,0.17,0.22
Spain,Switzerland,0.61,0.17,0.22
Spain,Ecuador,0.62,0.15,0.23
Spain,Austria,0.62,0.15,0.23
Spain,Ivory Coast,0.64,0.14,0.22
Spain,South Korea,0.64,0.14,0.22
Spain,Iran,0.65,0.13,0.22
Spain,Australia,0.65,0.13,0.22
Spain,Türkiye,0.67,0.12,0.21
Spain,Norway,0.67,0.12,0.21
Spain,Canada,0.68,0.11,0.21
Spain,Sweden,0.68,0.11,0.21
Spain,Czechia,0.70,0.09,0.21
Spain,Egypt,0.71,0.08,0.21
Spain,Algeria,0.73,0.07,0.20
Spain,Saudi Arabia,0.76,0.05,0.19
Spain,Qatar,0.76,0.05,0.19
Spain,Tunisia,0.76,0.05,0.19
Spain,Panama,0.77,0.04,0.19
Spain,Ghana,0.77,0.04,0.19
Spain,Bosnia,0.79,0.03,0.18
Spain,South Africa,0.80,0.02,0.18
Spain,Scotland,0.80,0.02,0.18
Spain,Iraq,0.82,0.01,0.17
Spain,Uzbekistan,0.83,0.01,0.16
Spain,Paraguay,0.83,0.01,0.16
Spain,Jordan,0.85,0.01,0.14
Spain,DR Congo,0.85,0.01,0.14
Spain,Haiti,0.85,0.01,0.14
Spain,Cabo Verde,0.85,0.01,0.14
Spain,New Zealand,0.85,0.01,0.14
Spain,Curaçao,0.85,0.01,0.14
England,Brazil,0.41,0.35,0.24
England,Portugal,0.43,0.33,0.24
England,Netherlands,0.44,0.32,0.24
England,Colombia,0.46,0.30,0.24
England,Uruguay,0.47,0.29,0.24
England,Germany,0.47,0.29,0.24
England,Belgium,0.49,0.27,0.24
England,Croatia,0.50,0.26,0.24
England,Japan,0.55,0.22,0.23
England,Senegal,0.56,0.21,0.23
England,Morocco,0.56,0.21,0.23
England,USA,0.59,0.18,0.23
England,Mexico,0.59,0.18,0.23
England,Switzerland,0.59,0.18,0.23
England,Ecuador,0.61,0.17,0.22
England,Austria,0.61,0.17,0.22
England,Ivory Coast,0.62,0.15,0.23
England,South Korea,0.62,0.15,0.23
England,Iran,0.64,0.14,0.22
England,Australia,0.64,0.14,0.22
England,Türkiye,0.65,0.13,0.22
England,Norway,0.65,0.13,0.22
England,Canada,0.67,0.12,0.21
England,Sweden,0.67,0.12,0.21
England,Czechia,0.68,0.11,0.21
England,Egypt,0.70,0.09,0.21
England,Algeria,0.71,0.08,0.21
England,Saudi Arabia,0.74,0.06,0.20
England,Qatar,0.74,0.06,0.20
England,Tunisia,0.74,0.06,0.20
England,Panama,0.76,0.05,0.19
England,Ghana,0.76,0.05,0.19
England,Bosnia,0.77,0.04,0.19
England,South Africa,0.79,0.03,0.18
England,Scotland,0.79,0.03,0.18
England,Iraq,0.80,0.02,0.18
England,Uzbekistan,0.82,0.01,0.17
England,Paraguay,0.82,0.01,0.17
England,Jordan,0.83,0.01,0.16
England,DR Congo,0.83,0.01,0.16
England,Haiti,0.85,0.01,0.14
England,Cabo Verde,0.85,0.01,0.14
England,New Zealand,0.85,0.01,0.14
England,Curaçao,0.85,0.01,0.14
Brazil,Portugal,0.40,0.36,0.24
Brazil,Netherlands,0.41,0.35,0.24
Brazil,Colombia,0.43,0.33,0.24
Brazil,Uruguay,0.44,0.32,0.24
Brazil,Germany,0.44,0.32,0.24
Brazil,Belgium,0.46,0.30,0.24
Brazil,Croatia,0.47,0.29,0.24
Brazil,Japan,0.52,0.25,0.23
Brazil,Senegal,0.53,0.24,0.23
Brazil,Morocco,0.53,0.24,0.23
Brazil,USA,0.56,0.21,0.23
Brazil,Mexico,0.56,0.21,0.23
Brazil,Switzerland,0.56,0.21,0.23
Brazil,Ecuador,0.58,0.19,0.23
Brazil,Austria,0.58,0.19,0.23
Brazil,Ivory Coast,0.59,0.18,0.23
Brazil,South Korea,0.59,0.18,0.23
Brazil,Iran,0.61,0.17,0.22
Brazil,Australia,0.61,0.17,0.22
Brazil,Türkiye,0.62,0.15,0.23
Brazil,Norway,0.62,0.15,0.23
Brazil,Canada,0.64,0.14,0.22
Brazil,Sweden,0.64,0.14,0.22
Brazil,Czechia,0.65,0.13,0.22
Brazil,Egypt,0.67,0.12,0.21
Brazil,Algeria,0.68,0.11,0.21
Brazil,Saudi Arabia,0.71,0.08,0.21
Brazil,Qatar,0.71,0.08,0.21
Brazil,Tunisia,0.71,0.08,0.21
Brazil,Panama,0.73,0.07,0.20
Brazil,Ghana,0.73,0.07,0.20
Brazil,Bosnia,0.74,0.06,0.20
Brazil,South Africa,0.76,0.05,0.19
Brazil,Scotland,0.76,0.05,0.19
Brazil,Iraq,0.77,0.04,0.19
Brazil,Uzbekistan,0.79,0.03,0.18
Brazil,Paraguay,0.79,0.03,0.18
