team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Algeria,Argentina,0.0760,0.7516,0.1724
Algeria,Australia,0.3527,0.3585,0.2888
Algeria,Austria,0.2948,0.4448,0.2604
Algeria,Belgium,0.2294,0.5366,0.2340
Algeria,Bosnia & Herzegovina,0.4583,0.2844,0.2573
Algeria,Brazil,0.1339,0.6675,0.1986
Algeria,Canada,0.3966,0.3273,0.2761
Algeria,Cape Verde,0.4964,0.2571,0.2465
Algeria,Colombia,0.2024,0.5736,0.2240
Algeria,Croatia,0.2100,0.5633,0.2267
Algeria,Curaçao,0.5352,0.2288,0.2360
Algeria,Czechia,0.3292,0.3945,0.2763
Algeria,DR Congo,0.4700,0.2761,0.2539
Algeria,Ecuador,0.2414,0.5200,0.2386
Algeria,Egypt,0.3419,0.3753,0.2828
Algeria,England,0.1165,0.6920,0.1915
Algeria,France,0.0964,0.7211,0.1825
Algeria,Germany,0.1703,0.6176,0.2121
Algeria,Ghana,0.3823,0.3370,0.2807
Algeria,Haiti,0.5512,0.2170,0.2318
Algeria,Iran,0.3235,0.4029,0.2736
Algeria,Iraq,0.4815,0.2678,0.2507
Algeria,Ivory Coast,0.3372,0.3825,0.2803
Algeria,Japan,0.2535,0.5031,0.2434
Algeria,Jordan,0.5719,0.2018,0.2263
Algeria,Mexico,0.2783,0.4684,0.2533
Algeria,Morocco,0.2215,0.5474,0.2311
Algeria,Netherlands,0.1636,0.6268,0.2096
Algeria,New Zealand,0.5616,0.2094,0.2290
Algeria,Norway,0.3154,0.4149,0.2697
Algeria,Panama,0.4264,0.3069,0.2667
Algeria,Paraguay,0.3632,0.3496,0.2872
Algeria,Portugal,0.1244,0.6806,0.1950
Algeria,Qatar,0.4442,0.2944,0.2614
Algeria,Saudi Arabia,0.4501,0.2903,0.2596
Algeria,Scotland,0.3473,0.3669,0.2858
Algeria,Senegal,0.2617,0.4917,0.2466
Algeria,South Africa,0.4347,0.3011,0.2642
Algeria,South Korea,0.3154,0.4149,0.2697
Algeria,Spain,0.0621,0.7730,0.1649
Algeria,Sweden,0.3031,0.4329,0.2640
Algeria,Switzerland,0.2824,0.4625,0.2551
Algeria,Tunisia,0.3906,0.3314,0.2780
Algeria,Türkiye,0.2882,0.4543,0.2575
Algeria,Uruguay,0.1878,0.5937,0.2185
Algeria,USA,0.2700,0.4801,0.2499
Algeria,Uzbekistan,0.4653,0.2794,0.2553
Argentina,Australia,0.7501,0.0771,0.1728
Argentina,Austria,0.7081,0.1080,0.1839
Argentina,Belgium,0.6478,0.1532,0.1990
Argentina,Bosnia & Herzegovina,0.7888,0.0495,0.1617
Argentina,Brazil,0.5095,0.2568,0.2337
Argentina,Canada,0.7681,0.0641,0.1678
Argentina,Cape Verde,0.8002,0.0419,0.1579
Argentina,Colombia,0.6166,0.1767,0.2067
Argentina,Croatia,0.6258,0.1697,0.2045
Argentina,Curaçao,0.8111,0.0351,0.1538
Argentina,Czechia,0.7339,0.0889,0.1772
Argentina,DR Congo,0.7923,0.0471,0.1606
Argentina,Ecuador,0.6602,0.1438,0.1960
Argentina,Egypt,0.7428,0.0824,0.1748
Argentina,England,0.4726,0.2838,0.2436
Argentina,France,0.4226,0.3195,0.2579
Argentina,Germany,0.5724,0.2099,0.2177
Argentina,Ghana,0.7627,0.0680,0.1693
Argentina,Haiti,0.8154,0.0325,0.1521
Argentina,Iran,0.7299,0.0919,0.1782
Argentina,Iraq,0.7957,0.0447,0.1596
Argentina,Ivory Coast,0.7395,0.0848,0.1757
Argentina,Japan,0.6721,0.1348,0.1931
Argentina,Jordan,0.8207,0.0293,0.1500
Argentina,Mexico,0.6944,0.1182,0.1874
Argentina,Morocco,0.6392,0.1597,0.2011
Argentina,Netherlands,0.5620,0.2177,0.2203
Argentina,New Zealand,0.8181,0.0308,0.1511
Argentina,Norway,0.7239,0.0963,0.1798
Argentina,Panama,0.7786,0.0567,0.1647
Argentina,Paraguay,0.7551,0.0735,0.1714
Argentina,Portugal,0.4900,0.2711,0.2389
Argentina,Qatar,0.7844,0.0526,0.1630
Argentina,Saudi Arabia,0.7863,0.0513,0.1624
Argentina,Scotland,0.7465,0.0797,0.1738
Argentina,Senegal,0.6798,0.1291,0.1911
Argentina,South Africa,0.7814,0.0547,0.1639
Argentina,South Korea,0.7239,0.0963,0.1798
