team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Argentina,Australia,0.413,0.3515,0.2355
Argentina,Austria,0.4075,0.3611,0.2314
Argentina,Belgium,0.3979,0.3779,0.2242
Argentina,Bosnia and Herzegovina,0.4267,0.3274,0.2459
Argentina,Brazil,0.3931,0.3863,0.2206
Argentina,Cabo Verde,0.4252,0.3301,0.2447
Argentina,Canada,0.4192,0.3407,0.2401
Argentina,Colombia,0.402,0.3708,0.2272
Argentina,Congo DR,0.4237,0.3327,0.2436
Argentina,Croatia,0.4004,0.3736,0.226
Argentina,Curaçao,0.4289,0.3235,0.2476
Argentina,Czechia,0.4275,0.3261,0.2464
Argentina,Ecuador,0.4099,0.357,0.2331
Argentina,Egypt,0.4138,0.3502,0.2361
Argentina,England,0.3914,0.3892,0.2194
Argentina,France,0.3892,0.3914,0.2194
Argentina,Germany,0.3955,0.3821,0.2224
Argentina,Ghana,0.4161,0.3461,0.2378
Argentina,Haiti,0.426,0.3288,0.2453
Argentina,Iraq,0.4214,0.3367,0.2418
Argentina,IR Iran,0.4114,0.3543,0.2343
Argentina,Japan,0.4036,0.368,0.2284
Argentina,Jordan,0.423,0.334,0.243
Argentina,Korea Republic,0.4122,0.3529,0.2349
Argentina,Mexico,0.4044,0.3667,0.229
Argentina,Morocco,0.3996,0.375,0.2254
Argentina,Netherlands,0.3963,0.3807,0.223
Argentina,New Zealand,0.4282,0.3248,0.247
Argentina,Norway,0.4184,0.3421,0.2395
Argentina,Panama,0.4245,0.3314,0.2441
Argentina,Paraguay,0.4107,0.3556,0.2337
Argentina,Portugal,0.3947,0.3835,0.2218
Argentina,Qatar,0.4199,0.3394,0.2407
Argentina,Saudi Arabia,0.4222,0.3354,0.2424
Argentina,Scotland,0.4091,0.3584,0.2325
Argentina,Senegal,0.4028,0.3694,0.2278
Argentina,South Africa,0.4176,0.3434,0.239
Argentina,Spain,0.3878,0.3923,0.22
Argentina,Sweden,0.4083,0.3597,0.232
Argentina,Switzerland,0.4059,0.3639,0.2302
Argentina,Tunisia,0.4169,0.3447,0.2384
Argentina,Türkiye,0.4067,0.3625,0.2308
Argentina,United States,0.4051,0.3653,0.2296
Argentina,Uruguay,0.4012,0.3722,0.2266
Argentina,Uzbekistan,0.4207,0.338,0.2413
Argentina,Algeria,0.4146,0.3488,0.2366
Argentina,Côte d'Ivoire,0.4153,0.3474,0.2372
Australia,Austria,0.3807,0.3963,0.223
Australia,Belgium,0.3639,0.4059,0.2302
Australia,Bosnia and Herzegovina,0.4051,0.3653,0.2296
Australia,Brazil,0.3556,0.4107,0.2337
Australia,Cabo Verde,0.4036,0.368,0.2284
Australia,Canada,0.3971,0.3793,0.2236
Australia,Colombia,0.3708,0.402,0.2272
Australia,Congo DR,0.402,0.3708,0.2272
Australia,Croatia,0.368,0.4036,0.2284
Australia,Curaçao,0.4075,0.3611,0.2314
Australia,Czechia,0.4059,0.3639,0.2302
Australia,Ecuador,0.3849,0.3939,0.2212
Australia,Egypt,0.3914,0.3892,0.2194
Australia,England,0.3529,0.4122,0.2349
Australia,France,0.3502,0.4138,0.2361
Australia,Germany,0.3597,0.4083,0.232
Australia,Ghana,0.3939,0.3849,0.2212
Australia,Haiti,0.4044,0.3667,0.229
Australia,Iraq,0.3996,0.375,0.2254
Australia,IR Iran,0.3878,0.3923,0.22
Australia,Japan,0.3736,0.4004,0.226
Australia,Jordan,0.4012,0.3722,0.2266
Australia,Korea Republic,0.3892,0.3914,0.2194
Australia,Mexico,0.375,0.3996,0.2254
Australia,Morocco,0.3667,0.4044,0.229
Australia,Netherlands,0.3611,0.4075,0.2314
Australia,New Zealand,0.4067,0.3625,0.2308
Australia,Norway,0.3963,0.3807,0.223
Australia,Panama,0.4028,0.3694,0.2278
