team_1,team_2,team_1_win_prob,team_2_win_prob,draw_prob
Spain,Argentina,0.3705,0.3424,0.2871
Spain,France,0.3745,0.3385,0.2870
Spain,England,0.4246,0.2916,0.2838
Spain,Portugal,0.4985,0.2286,0.2729
Spain,Brazil,0.5062,0.2224,0.2714
Spain,Morocco,0.5094,0.2199,0.2707
Spain,Belgium,0.5218,0.2102,0.2680
Spain,Germany,0.5284,0.2051,0.2665
Spain,Netherlands,0.5317,0.2026,0.2657
Spain,Croatia,0.5645,0.1781,0.2574
Spain,Colombia,0.5842,0.1641,0.2517
Spain,Mexico,0.5944,0.1569,0.2487
Spain,Senegal,0.5958,0.1560,0.2482
Spain,Uruguay,0.6118,0.1451,0.2431
Spain,United States,0.6212,0.1389,0.2399
Spain,Japan,0.6255,0.1360,0.2385
Spain,Switzerland,0.6392,0.1272,0.2336
Spain,Iran,0.6841,0.0998,0.2161
Spain,Turkiye,0.6908,0.0959,0.2133
Spain,Austria,0.7002,0.0905,0.2093
Spain,Ecuador,0.7013,0.0900,0.2087
Spain,South Korea,0.7068,0.0869,0.2063
Spain,Norway,0.7079,0.0862,0.2059
Spain,Australia,0.7205,0.0793,0.2002
Spain,Algeria,0.7297,0.0744,0.1959
Spain,Egypt,0.7391,0.0695,0.1914
Spain,Canada,0.7422,0.0679,0.1899
Spain,Ivory Coast,0.7621,0.0580,0.1799
Spain,Panama,0.7639,0.0571,0.1790
Spain,Scotland,0.7906,0.0447,0.1647
Spain,Sweden,0.7942,0.0431,0.1627
Spain,Czechia,0.7983,0.0413,0.1604
Spain,Paraguay,0.7986,0.0412,0.1602
Spain,DR Congo,0.8236,0.0307,0.1457
Spain,Tunisia,0.8268,0.0295,0.1437
Spain,Uzbekistan,0.8409,0.0241,0.1350
Spain,Qatar,0.8475,0.0217,0.1308
Spain,Iraq,0.8538,0.0194,0.1268
Spain,South Africa,0.8695,0.0142,0.1163
Spain,Saudi Arabia,0.8819,0.0118,0.1063
Spain,Jordan,0.8824,0.0118,0.1058
Spain,Bosnia & Herzegovina,0.8839,0.0116,0.1045
Spain,Cape Verde,0.8885,0.0111,0.1004
Spain,Ghana,0.8932,0.0106,0.0962
Spain,Curacao,0.9044,0.0093,0.0863
Spain,Haiti,0.9050,0.0092,0.0858
Spain,New Zealand,0.9070,0.0090,0.0840
Argentina,France,0.3603,0.3525,0.2872
Argentina,England,0.4100,0.3049,0.2851
Argentina,Portugal,0.4836,0.2407,0.2757
Argentina,Brazil,0.4913,0.2344,0.2743
Argentina,Morocco,0.4945,0.2319,0.2736
Argentina,Belgium,0.5068,0.2219,0.2713
Argentina,Germany,0.5134,0.2167,0.2699
Argentina,Netherlands,0.5167,0.2141,0.2692
Argentina,Croatia,0.5496,0.1890,0.2614
Argentina,Colombia,0.5694,0.1746,0.2560
Argentina,Mexico,0.5797,0.1672,0.2531
Argentina,Senegal,0.5810,0.1663,0.2527
Argentina,Uruguay,0.5971,0.1551,0.2478
Argentina,United States,0.6066,0.1486,0.2448
Argentina,Japan,0.6109,0.1457,0.2434
Argentina,Switzerland,0.6247,0.1366,0.2387
Argentina,Iran,0.6700,0.1082,0.2218
Argentina,Turkiye,0.6768,0.1041,0.2191
Argentina,Austria,0.6864,0.0985,0.2151
Argentina,Ecuador,0.6874,0.0979,0.2147
Argentina,South Korea,0.6930,0.0947,0.2123
Argentina,Norway,0.6941,0.0940,0.2119
Argentina,Australia,0.7069,0.0868,0.2063
Argentina,Algeria,0.7162,0.0817,0.2021
Argentina,Egypt,0.7257,0.0765,0.1978
Argentina,Canada,0.7289,0.0749,0.1962
Argentina,Ivory Coast,0.7491,0.0644,0.1865
Argentina,Panama,0.7509,0.0635,0.1856
Argentina,Scotland,0.7782,0.0504,0.1714
Argentina,Sweden,0.7818,0.0487,0.1695
Argentina,Czechia,0.7860,0.0468,0.1672
Argentina,Paraguay,0.7863,0.0467,0.1670
Argentina,DR Congo,0.8119,0.0355,0.1526
Argentina,Tunisia,0.8151,0.0342,0.1507
Argentina,Uzbekistan,0.8296,0.0284,0.1420
Argentina,Qatar,0.8363,0.0258,0.1379
Argentina,Iraq,0.8428,0.0234,0.1338
Argentina,South Africa,0.8589,0.0177,0.1234
Argentina,Saudi Arabia,0.8788,0.0122,0.1090
Argentina,Jordan,0.8793,0.0121,0.1086
Argentina,Bosnia & Herzegovina,0.8809,0.0119,0.1072
Argentina,Cape Verde,0.8856,0.0114,0.1030
Argentina,Ghana,0.8904,0.0109,0.0987
Argentina,Curacao,0.9019,0.0096,0.0885
Argentina,Haiti,0.9025,0.0095,0.0880
Argentina,New Zealand,0.9046,0.0093,0.0861
France,England,0.4060,0.3086,0.2854
France,Portugal,0.4795,0.2442,0.2763
France,Brazil,0.4872,0.2378,0.2750
France,Morocco,0.4903,0.2352,0.2745
France,Belgium,0.5027,0.2253,0.2720
France,Germany,0.5093,0.2200,0.2707
France,Netherlands,0.5126,0.2174,0.2700
France,Croatia,0.5455,0.1921,0.2624
France,Colombia,0.5652,0.1776,0.2572
France,Mexico,0.5756,0.1702,0.2542
France,Senegal,0.5769,0.1692,0.2539
France,Uruguay,0.5930,0.1579,0.2491
France,United States,0.6025,0.1514,0.2461
France,Japan,0.6069,0.1485,0.2446
France,Switzerland,0.6206,0.1393,0.2401
France,Iran,0.6660,0.1105,0.2235
France,Turkiye,0.6729,0.1064,0.2207
France,Austria,0.6825,0.1008,0.2167
France,Ecuador,0.6835,0.1001,0.2164
France,South Korea,0.6891,0.0969,0.2140
France,Norway,0.6902,0.0962,0.2136
France,Australia,0.7031,0.0889,0.2080
France,Algeria,0.7124,0.0838,0.2038
France,Egypt,0.7220,0.0786,0.1994
France,Canada,0.7252,0.0768,0.1980
France,Ivory Coast,0.7455,0.0663,0.1882
France,Panama,0.7473,0.0653,0.1874
France,Scotland,0.7747,0.0520,0.1733
France,Sweden,0.7783,0.0503,0.1714
France,Czechia,0.7825,0.0484,0.1691
France,Paraguay,0.7828,0.0482,0.1690
France,DR Congo,0.8086,0.0369,0.1545
France,Tunisia,0.8118,0.0356,0.1526
France,Uzbekistan,0.8264,0.0296,0.1440
France,Qatar,0.8332,0.0270,0.1398
France,Iraq,0.8396,0.0246,0.1358
France,South Africa,0.8559,0.0187,0.1254
France,Saudi Arabia,0.8779,0.0123,0.1098
France,Jordan,0.8785,0.0122,0.1093
France,Bosnia & Herzegovina,0.8800,0.0120,0.1080
France,Cape Verde,0.8848,0.0115,0.1037
France,Ghana,0.8896,0.0110,0.0994
France,Curacao,0.9012,0.0097,0.0891
France,Haiti,0.9018,0.0096,0.0886
France,New Zealand,0.9039,0.0094,0.0867
England,Portugal,0.4282,0.2884,0.2834
England,Brazil,0.4358,0.2816,0.2826
England,Morocco,0.4389,0.2788,0.2823
England,Belgium,0.4511,0.2682,0.2807
England,Germany,0.4577,0.2625,0.2798
England,Netherlands,0.4610,0.2597,0.2793
England,Croatia,0.4938,0.2325,0.2737
England,Colombia,0.5136,0.2166,0.2698
England,Mexico,0.5240,0.2085,0.2675
England,Senegal,0.5253,0.2075,0.2672
England,Uruguay,0.5416,0.1951,0.2633
England,United States,0.5512,0.1879,0.2609
England,Japan,0.5556,0.1846,0.2598
England,Switzerland,0.5696,0.1744,0.2560
England,Iran,0.6161,0.1423,0.2416
England,Turkiye,0.6231,0.1376,0.2393
England,Austria,0.6330,0.1312,0.2358
England,Ecuador,0.6341,0.1305,0.2354
England,South Korea,0.6399,0.1268,0.2333
England,Norway,0.6411,0.1260,0.2329
England,Australia,0.6544,0.1177,0.2279
England,Algeria,0.6641,0.1117,0.2242
England,Egypt,0.6740,0.1057,0.2203
England,Canada,0.6774,0.1037,0.2189
England,Ivory Coast,0.6987,0.0914,0.2099
England,Panama,0.7006,0.0903,0.2091
England,Scotland,0.7295,0.0746,0.1959
England,Sweden,0.7333,0.0725,0.1942
England,Czechia,0.7378,0.0702,0.1920
England,Paraguay,0.7381,0.0700,0.1919
England,DR Congo,0.7656,0.0563,0.1781
England,Tunisia,0.7690,0.0547,0.1763
England,Uzbekistan,0.7847,0.0474,0.1679
England,Qatar,0.7920,0.0441,0.1639
England,Iraq,0.7991,0.0410,0.1599
England,South Africa,0.8167,0.0335,0.1498
England,Saudi Arabia,0.8503,0.0207,0.1290
England,Jordan,0.8521,0.0200,0.1279
England,Bosnia & Herzegovina,0.8574,0.0182,0.1244
England,Cape Verde,0.8738,0.0128,0.1134
England,Ghana,0.8792,0.0121,0.1087
England,Curacao,0.8918,0.0107,0.0975
England,Haiti,0.8925,0.0106,0.0969
England,New Zealand,0.8948,0.0104,0.0948
Portugal,Brazil,0.3637,0.3491,0.2872
Portugal,Morocco,0.3667,0.3462,0.2871
Portugal,Belgium,0.3785,0.3347,0.2868
Portugal,Germany,0.3848,0.3286,0.2866
Portugal,Netherlands,0.3880,0.3255,0.2865
Portugal,Croatia,0.4199,0.2958,0.2843
Portugal,Colombia,0.4394,0.2784,0.2822
Portugal,Mexico,0.4497,0.2694,0.2809
Portugal,Senegal,0.4510,0.2683,0.2807
Portugal,Uruguay,0.4672,0.2545,0.2783
Portugal,United States,0.4768,0.2464,0.2768
Portugal,Japan,0.4812,0.2428,0.2760
Portugal,Switzerland,0.4952,0.2313,0.2735
Portugal,Iran,0.5423,0.1945,0.2632
Portugal,Turkiye,0.5495,0.1891,0.2614
Portugal,Austria,0.5596,0.1817,0.2587
Portugal,Ecuador,0.5607,0.1809,0.2584
Portugal,South Korea,0.5667,0.1765,0.2568
Portugal,Norway,0.5679,0.1757,0.2564
Portugal,Australia,0.5816,0.1659,0.2525
Portugal,Algeria,0.5917,0.1588,0.2495
Portugal,Egypt,0.6020,0.1517,0.2463
Portugal,Canada,0.6055,0.1493,0.2452
Portugal,Ivory Coast,0.6278,0.1346,0.2376
Portugal,Panama,0.6298,0.1333,0.2369
Portugal,Scotland,0.6603,0.1140,0.2257
Portugal,Sweden,0.6644,0.1115,0.2241
Portugal,Czechia,0.6692,0.1086,0.2222
Portugal,Paraguay,0.6695,0.1084,0.2221
Portugal,DR Congo,0.6990,0.0912,0.2098
Portugal,Tunisia,0.7027,0.0891,0.2082
Portugal,Uzbekistan,0.7197,0.0798,0.2005
Portugal,Qatar,0.7277,0.0755,0.1968
Portugal,Iraq,0.7354,0.0715,0.1931
Portugal,South Africa,0.7548,0.0616,0.1836
Portugal,Saudi Arabia,0.7921,0.0440,0.1639
Portugal,Jordan,0.7942,0.0431,0.1627
Portugal,Bosnia & Herzegovina,0.8002,0.0405,0.1593
Portugal,Cape Verde,0.8187,0.0327,0.1486
Portugal,Ghana,0.8376,0.0253,0.1371
Portugal,Curacao,0.8768,0.0124,0.1108
Portugal,Haiti,0.8776,0.0123,0.1101
Portugal,New Zealand,0.8802,0.0120,0.1078
Brazil,Morocco,0.3594,0.3534,0.2872
Brazil,Belgium,0.3711,0.3418,0.2871
Brazil,Germany,0.3774,0.3357,0.2869
Brazil,Netherlands,0.3806,0.3326,0.2868
Brazil,Croatia,0.4124,0.3027,0.2849
Brazil,Colombia,0.4318,0.2851,0.2831
Brazil,Mexico,0.4421,0.2761,0.2818
